id,name,website,category,location,region,country,typical_month,duration_days,description,denomination_focus,target_audience,accommodation_type,estimated_attendance
FE013,Catalyst Festival,https://catalystnetwork.org/festival,Festival/Conference,Norwich; Norfolk,East of England,UK,May,3-4,Festival about gathering; loving God and mission. Empowering attendees to make a difference in workplaces and communities.,Interdenominational,Church leaders; Missional Christians,Camping; Local accommodation,2000+
FE014,Awaken (formerly Grapevine/ONE Event),https://awakenevent.uk/,Festival/Conference,Newark; Lincolnshire,East Midlands,UK,August,5,Event for the Ground Level Network of Churches and friends. Teaching; worship; and community.,Ground Level/Interdenominational,Families; Church network,Camping,3000+
FE015,Bible by the Beach,https://www.biblebythebeach.org/,Conference,Eastbourne; East Sussex,South East,UK,April/May,4,High-quality Bible-centred conference for all God's people. Lively and contemporary in style.,Evangelical/Interdenominational,Adults; Families; Individuals,Local hotels and B&Bs,1500+
FE016,Commission Festival,https://www.commission.global/festivalhome,Festival/Conference,Shepton Mallet; Somerset,South West,UK,August,5,Brings together the Commission family of churches for teaching; worship; and encounters with God.,Commission/Interdenominational,Church network; Families,Camping,2000+
FE017,Devoted,https://devotedevent.org/,Conference,Stafford; Staffordshire,West Midlands,UK,August,3,Bi-annual weekend event by ChristCentral churches under New Frontiers. Open to anyone.,New Frontiers/Interdenominational,Young adults; Church network,Camping; Local accommodation,2000+
FE018,Focus (HTB Network),https://focus.htb.org/,Conference,Newark; Nottinghamshire,East Midlands,UK,July,5,Gathering of the HTB church network for teaching; worship; and community. Big Top worship and family programme.,HTB Network/Anglican,HTB network; Families,Camping; Glamping,5000+
FE019,EMW Aberystwyth Conference,https://www.emw.org.uk/aber,Conference,Aberystwyth; Wales,Wales,UK,August,7-14,1500 people gather to be refreshed by the Word. Welsh evangelical conference.,Evangelical/Welsh,Welsh Christians; Families,University accommodation; Local B&Bs,1500
FE020,Bangor Worldwide Missionary Convention,https://www.worldwidemission.org/,Conference,Bangor; Northern Ireland,Northern Ireland,UK,August,9,Annual 9-day missions conference held in Bangor; Northern Ireland. Focuses on global mission.,"Interdenominational",Mission-minded Christians,Local accommodation,2000+
FE021,Essence Christian Creative Festival,https://www.essencefest.org/,Arts Festival,Llanmadoc; Gower; South Wales,Wales,UK,June/July,3-4,Family-friendly event encouraging creativity in God's people. Arts; crafts; music; and worship.,Interdenominational,Creative Christians; Families,Camping,500-1000
FE022,Weekend to Remember (FamilyLife),https://www.familylife.com/weekend-to-remember/,Conference/Retreat,Various UK locations,Various,UK,Various,3,Faith-based marriage retreat offering tools to strengthen relationships and rebuild intimacy.,Interdenominational,Married Couples,Hotel accommodation,500+
FE023,GoHealth Wilderness and Wellbeing Retreat,https://gohealth.org.uk/wildernessandwellbeing/,Retreat/Gathering,Various UK locations,Various,UK,Various,3-5,Community gathering providing time and space to reflect on health and healing through connecting with nature.,Interdenominational,Adults,Retreat centres; Camping,100+
FE024,The Pilgrim's Way (Lent Retreats),https://www.turveyabbey.org.uk/pilgrimage/lent-retreats/,Retreat/Event,Turvey Abbey,East of England,UK,March/April (Lent),3-7,Lent retreats and courses offering spiritual nourishment and support for the inner journey during the Lenten season.,Catholic/Interdenominational,Adults,Abbey accommodation,50+
