id,name,website,category,sub_category,location_base,destinations_served,description,denomination_focus,target_audience,key_features,contact_email,contact_phone,verified
TO014,Norman Allen Group Travel,https://www.normanallen.co.uk/,Tour Operator,Group Travel,UK,Europe; Holy Land; Worldwide,Specialist in organising group travel for churches; choirs; and Christian organisations.,Interdenominational,Church groups; Choirs; Organisations,Bespoke group itineraries; Church group specialists,,, 
TO015,Pilgrims and Prophets Tours,https://www.pilgrimsandprophets.co.uk/,Tour Operator,Heritage Tours,UK,UK,Offers Christian heritage tours within the UK; exploring sites connected to revival history; missionaries; and church history.,Interdenominational,Heritage tourists; International visitors to UK,UK Christian heritage specialism; Free travel advice,,+44 7470 366689, 
TO016,Christian Cruises UK,https://christian-cruises.co.uk/,Tour Operator,Cruise,UK,UK waters; Europe; Worldwide,Specialises in creating quality cruises with a Christian theme whether in the UK or around the world.,Interdenominational,Couples; Singles; Groups,Themed Christian cruises; UK and international sailings,,, 
TO017,Inspiration Cruises & Tours,https://www.inspirationtravel.com/,Tour Operator,Cruise,UK/International,Mediterranean; Rhine; Alaska; Caribbean,Faith-based cruise vacations featuring Christian speakers; musicians; and comedians on major cruise lines.,Interdenominational,Couples; Families; Groups,Celebrity Christian speakers; Major cruise lines; Music-themed cruises,,, 
TO018,Christian Holiday People,https://www.christianholidays.co.uk/,Tour Operator,Domestic Holidays,UK,UK,UK holiday centres with several breaks each year designed specifically for singles and groups.,Interdenominational,Singles; Groups,Singles-specific breaks; UK-based,,, 
TO019,Travelink / Tours for Christians,https://www.toursforchristians.co.uk/,Tour Operator,Pilgrimage/Tours,UK,Holy Land; Europe; Worldwide,Offers a range of Christian tours and pilgrimages for groups and individuals.,Interdenominational,Church groups; Individuals,Group and individual tours,,, 
TO020,Globus,https://www.globusjourneys.co.uk/tour/religious/,Tour Operator,Escorted Tours,UK/International,Worldwide,Escorted religious tours to Israel Jordan Egypt and Europe,Interdenominational,Couples; Groups,Expert guides; Faith-based itineraries,,,
TO021,Trafalgar,https://www.trafalgar.com/real-word/christian-tours/,Tour Operator,Escorted Tours,UK/International,Worldwide,Guided tours covering Christian history like Martin Luther Reformation,Interdenominational,Couples; Groups,History focus; Expert guides,,,
TO022,Lightline Pilgrimages,https://www.lightline.org.uk/,Tour Operator,Pilgrimage,UK,Holy Land; Europe,UK-based operator focusing on supporting local Christians in the Holy Land,Interdenominational,Church groups; Individuals,Supports Living Stones; Christian-owned partners,,,
TO023,UTracks,https://www.utracks.com/Camino/Camino-de-Santiago,Tour Operator,Walking Tours,UK/International,Spain,Guided and self-guided Camino de Santiago tours,Interdenominational,Walkers; Pilgrims,Camino specialists; Self-guided options,,,
TO024,Titan Travel,https://www.titantravel.co.uk/,Tour Operator,Escorted Tours,UK,Germany,Packages for the Oberammergau Passion Play,Interdenominational,Groups; Individuals,Oberammergau packages; Escorted travel,,,
