id,name,website,category,sub_category,location,region,country,description,denomination_focus,capacity_notes,key_features,accessibility,contact_email,contact_phone
RA011,Buckfast Abbey,https://www.buckfast.org.uk/,Retreat Centre,Monastery,Buckfastleigh; Devon,South West,UK,Working Benedictine monastery in Devon offering retreat accommodation and spiritual programmes.,Catholic/Benedictine,Medium,Working monastery; Devon location; Gift shop and grounds,,, 
RA012,Douai Abbey,https://www.douaiabbey.org.uk/,Retreat Centre,Monastery,Reading; Berkshire,South East,UK,Benedictine monastery offering retreat accommodation and hospitality.,Catholic/Benedictine,Small/Medium,Benedictine community; Peaceful setting,,, 
RA013,Foxhill,https://www.foxhillconferences.co.uk/,Retreat Centre,Conference/Retreat,Frodsham; Cheshire,North West,UK,Anglican conference and retreat centre in Cheshire.,Anglican/Interdenominational,Medium,Conference facilities; Cheshire countryside,,, 
RA014,Parcevall Hall,https://www.parcevall.bradford.anglican.org/,Retreat Centre,Retreat House,Appletreewick; North Yorkshire,Yorkshire,UK,Anglican retreat house in the Yorkshire Dales offering quiet days and group retreats.,Anglican/Interdenominational,Small/Medium,Yorkshire Dales; Beautiful gardens,,, 
RA015,Wydale Hall,https://www.wydale.org/,Retreat Centre,Conference/Retreat,Brompton-by-Sawdon; North Yorkshire,Yorkshire,UK,Anglican conference and retreat centre near Scarborough offering retreats; conferences; and quiet days.,Anglican/Interdenominational,Medium,Near Scarborough; Conference facilities,,, 
RA016,Sheldon (Society of Mary and Martha),https://www.sheldonretreat.com/,Retreat Centre,Clergy Retreat,Doddiscombsleigh; Devon,South West,UK,Retreat centre specifically supporting clergy and church leaders with rest; reflection; and renewal.,Interdenominational,Small,Clergy-specific; Burnout support; Devon countryside,,, 
RA017,Sarum College,https://www.sarum.ac.uk/,Retreat Centre,Academic/Retreat,Salisbury; Wiltshire,South West,UK,Ecumenical theological college in Salisbury Cathedral Close offering courses; retreats; and accommodation.,Ecumenical,Medium,Cathedral Close location; Academic programmes; Retreats,,, 
RA018,Greenhouse Christian Centre,https://www.the-greenhouse.org/,Retreat Centre,Guest House/Retreat,Poole; Dorset,South West,UK,Free Church Christian guest house and retreat centre near Bournemouth offering B&B and full-board accommodation.,Free Church/Interdenominational,Small/Medium,Near Bournemouth; B&B and full board; Quiet days,,, 
RA019,Crowhurst Christian Healing Centre,https://www.crowhursthealing.co.uk/,Retreat Centre,Healing/Retreat,Battle; East Sussex,South East,UK,Anglican healing centre offering retreats focused on Christian healing ministry.,Anglican/Interdenominational,Small,Healing ministry; Quiet retreats,,, 
RA020,Letton Hall,https://www.lettonhall.org/,Retreat Centre,Conference/Activity,Shipdham; Norfolk,East of England,UK,Christian conference and activity centre in Norfolk offering group bookings and holiday weeks.,Interdenominational,Large,Activity centre; Group bookings; Norfolk,,, 
RA021,Othona Community (Bradwell),https://www.othona-bb.org.uk/,Retreat Centre,Community/Retreat,Bridport; Dorset,South West,UK,Interdenominational Christian community offering retreats; holidays; and community living experiences.,Interdenominational,Small/Medium,Community living; Simple accommodation; Eco-focus,,, 
RA022,Minsteracres Retreat Centre,https://www.minsteracres.org/,Retreat Centre,Retreat House,Consett; County Durham,North East,UK,Passionist-run retreat centre with 110 acres of land welcoming individuals for private retreats and guided programmes.,Catholic/Interdenominational,Medium,110 acres; Passionist community; North East,,, 
RA023,Shepherds Dene,https://www.shepherdsdene.co.uk/,Retreat Centre,Retreat House,Riding Mill; Northumberland,North East,UK,Anglican retreat house in Northumberland offering quiet days; guided retreats; and group bookings.,Anglican/Interdenominational,Small/Medium,Northumberland countryside; Quiet setting,,, 
RA024,Ffald-y-Brenin,https://www.ffald-y-brenin.org/,Retreat Centre,Prayer/Retreat,Fishguard; Pembrokeshire,Wales,UK,Christian retreat centre in Pembrokeshire known for its prayer ministry and peaceful setting in the Welsh hills.,Interdenominational,Small/Medium,Prayer ministry; Welsh hills; Peaceful setting,,, 
RA025,Thornleigh Hotel,https://www.thornleighhotel.co.uk/,Hotel,Christian Hotel,Grange-over-Sands; Cumbria,North West,UK,Christian-run hotel in the Lake District offering comfortable accommodation with a Christian ethos.,Interdenominational,Medium (Hotel),Lake District location; Christian ethos; Hotel standard,,, 
RA026,The Royal Foundation of St Katharine,https://rfsk.org.uk/,Retreat Centre,Retreat/Conference,Limehouse; London,London,UK,Anglican retreat and conference centre in East London offering quiet days; retreats; and meeting spaces.,Anglican/Interdenominational,Small/Medium,Central London; Historic foundation,,, 
RA027,Marygate House,https://www.marygatehouse.org.uk/,Retreat Centre,Retreat House,Holy Island; Northumberland,North East,UK,Retreat house on Holy Island (Lindisfarne) offering accommodation for individuals and small groups on retreat.,Interdenominational,Small,Holy Island location; Pilgrimage base,,, 
RA028,Community of Aidan and Hilda,https://www.aidanandhilda.org.uk/,Retreat Centre,Community/Retreat,Holy Island; Northumberland,North East,UK,Dispersed Celtic-inspired Christian community based on Holy Island offering retreats and pilgrimage experiences.,Interdenominational/Celtic,Small,Celtic spirituality; Holy Island; Pilgrimage,,, 
RA029,Wykes Manor,https://www.wykesmanor.com/,Retreat Centre,Country House/Retreat,Lincolnshire,East Midlands,UK,Ancient Fenland manor offering retreat accommodation and country house guesthouse experience.,Interdenominational,Small,Historic manor; Lincolnshire; Unique setting,,, 
RA030,L'Abri Fellowship (England),https://www.labri.org/england/,Retreat Centre,Study Centre,Greatham; Hampshire,South East,UK,International Christian study centre offering residential study programmes exploring faith and culture.,Interdenominational,Small,Study programmes; Intellectual engagement; Community,,, 
RA031,Champing (The Churches Conservation Trust),https://champing.co.uk/,Accommodation,Church Camping,Various,UK,UK,Unique concept of camping overnight in historic churches across the UK.,Interdenominational,Small/Group,Exclusive use; Historic buildings; Dog friendly,,champing@thecct.org.uk,0207 841 0436
RA032,Quiet Waters,https://www.quietwaters.org.uk/,Retreat Centre,Creative Retreat,Suffolk,East of England,UK,Christian retreat house offering led retreats; creative workshops; and peaceful surroundings.,Interdenominational,Small,Creative workshops; Led retreats; Peaceful setting,,,
RA033,Christian Conference Trust (The Hayes),https://www.cct.org.uk/conferences/exclusive-use,Retreat Centre,Conference/Retreat,Swanwick,East Midlands,UK,Large conference centre offering exclusive use for Christian groups up to 400 guests.,Interdenominational,Large (400 guests),Exclusive use; 26 meeting spaces; All-inclusive packages,,info@cct.org.uk,0300 111 4444
RA034,Christian Conference Trust (High Leigh),https://www.cct.org.uk/conferences/exclusive-use,Retreat Centre,Conference/Retreat,Hoddesdon,East of England,UK,Large conference centre near London catering for up to 320 guests.,Interdenominational,Large (320 guests),Exclusive use; 21 meeting spaces; All-inclusive packages,,info@cct.org.uk,0300 111 4444
RA035,Christian Conference Trust (Highgate House),https://www.cct.org.uk/conferences/exclusive-use,Retreat Centre,Conference/Retreat,Creaton,East Midlands,UK,Stunning Northamptonshire conference centre perfect for exclusive use for Christian groups of up to 160 adults.,Interdenominational,Large (190 guests),Exclusive use; 16 meeting spaces; All-inclusive packages,,info@cct.org.uk,0300 111 4444
RA036,Bassenfell Manor Christian Centre,https://www.bassenfell.org.uk/,Retreat Centre,Activity/Holiday Centre,Keswick,North West,UK,Victorian manor house offering activity holidays; walking weeks; and catered holidays with Christian fellowship.,Interdenominational,Medium,Lake District; Walking weeks; En-suite rooms; Special diets catered,,,
RA037,Cefn Lea,https://www.cefnlea.co.uk/,Holiday Centre,Holiday Park/Conference,Mid Wales,Wales,UK,Christian conference and holiday park in the heart of Mid Wales.,Interdenominational,Large,Holiday park; Conference facilities; Mid Wales location,,,01686 625275
RA038,Stanton House,https://www.stantonhouse.org.uk/,Retreat Centre,Retreat House,Oxford,South East,UK,Idyllic and peaceful Christian retreat house set in beautiful grounds in Oxford.,Interdenominational,Small/Medium,Peaceful grounds; Quiet days; Group retreats,,,
RA039,Waverley Abbey,https://www.waverleyabbey.org/events-and-hospitality/retreats/,Retreat Centre,Retreat House,Farnham,South East,UK,Christian retreats; workshops; and worship nights set in historic abbey grounds.,Interdenominational,Medium,Historic abbey; Workshops; Worship nights,,,
RA040,Harker Grange,https://www.harkergrange.co.uk/,Retreat Centre,Marriage/Couples Retreat,Carlisle,North West,UK,Christian retreat centre in Cumbria specifically supporting marriages through retreat weekend ministry.,Interdenominational,Small,Marriage support; Couples retreats; Cumbria,,,
